Number of sample, MFW used, Author recognised with SVM (General attributive success: 81.9 %), Author recognised with Delta (General attributive success: 73.3 %), Author recognised with NSC (General attributive success: 78.6 %),
Sample 1, 100 MFW, Solís, SJ , SJ ,
Sample 1, 200 MFW, Solís, SJ , SJ ,
Sample 1, 300 MFW, SJ, SJ, SJ,
Sample 1, 400 MFW, SJ, SJ, SJ,
Sample 1, 500 MFW, SJ, SJ, SJ,
Sample 2, 100 MFW, SJ, SJ, SJ,
Sample 2, 200 MFW, SJ, SJ, SJ,
Sample 2, 300 MFW, SJ, SJ, SJ,
Sample 2, 400 MFW, SJ, SJ, SJ,
Sample 2, 500 MFW, SJ, SJ, SJ,
Sample 3, 100 MFW, Solís, Solís, Solís,
Sample 3, 200 MFW, Solís, Solís, Solís,
Sample 3, 300 MFW, Solís, Solís, Solís,
Sample 3, 400 MFW, Solís, Solís, Solís,
Sample 3, 500 MFW, SJ, Solís, Solís,
Sample 4, 100 MFW, Solís, SJ, Solís,
Sample 4, 200 MFW, Solís, SJ, Solís,
Sample 4, 300 MFW, Solís, Solís, Solís,
Sample 4, SJ, SJ, Solís, Solís,
Sample 4, 500 MFW, SJ, Solís, Solís,
