Number of sample, MFW used, Author recognised with SVM (General attributive success: 90 %), Author recognised with Delta (General attributive success: 92 %), Author recognised with NSC (General attributive success: 89 %),
Sample 1, 100 MFW, SJ, SJ, SJ,
Sample 1, 200 MFW, SJ, SJ, SJ,
Sample 1, 300 MFW, SJ, SJ, SJ,
Sample 1, 400 MFW, SJ, SJ, SJ,
Sample 1, 500 MFW, SJ, SJ, SJ,
Sample 2, 100 MFW, Solís, Solís, Solís,
Sample 2, 200 MFW, Solís, Salazar, Solís,
Sample 2, 300 MFW, Solís, Solís, Solís,
Sample 2, 400 MFW, SJ, Solís, Solís,
Sample 2, 500 MFW, Solís, Solís, Solís,
